(0, 3),
(0, 1),
(0, 8),
(1, 0),
(1, 1),
(1, 14),
(2, 2),
(2, 7),
(2, 1),
(3, 16),
(3, 12),
(3, 6),
(3, 8),
(3, 14),
(4, 2),
(5, 16),
(6, 1),
(6, 7),
(6, 8),
(7, 1),
(7, 0),
(7, 8),
(8, 1),
(8, 14),
(8, 0),
(9, 0),
(9, 1),
(9, 8),
(10, 0),
(10, 1),
(10, 14),
(11, 16),
(11, 10),
(12, 6),
(12, 13),
(13, 6),
(13, 9),
(13, 12),
(14, 2),
(14, 1),
(14, 3),
(14, 7),
(15, 3),
(16, 0),
(16, 10),
(17, 13),
(17, 3),
(18, 0),
(18, 1),
(18, 2),
(18, 14),
(18, 3),
(19, 2),
(19, 0),
(19, 8),
(19, 1),
(20, 10),
(20, 16),
(21, 0),
(21, 14),
(21, 16),
(21, 1),
(22, 0),
(22, 1),
(22, 8),
(22, 14),
(23, 4),
(23, 6),
(23, 16),
(24, 4),
(24, 6),
(24, 16),
(25, 2),
(25, 3),
(25, 1),
(25, 8),
(25, 7),
(26, 0),
(26, 14),
(26, 1),
(27, 0),
(27, 1),
(27, 8),
(27, 7),
(28, 0),
(28, 1),
(28, 14),
(29, 7),
(29, 8),
(29, 1),
(30, 6),
(30, 11),
(31, 8),
(31, 7),
(31, 3),
(32, 16),
(32, 10),
(32, 12),
(33, 7),
(33, 2),
(33, 3),
(33, 8),
(34, 0),
(34, 1),
(34, 3),
(34, 14),
(35, 14),
(35, 0),
(35, 1),
(35, 8),
(35, 16),
(36, 0),
(36, 1),
(36, 14),
(36, 3),
(36, 7),
(37, 16),
(37, 4),
(37, 6),
(37, 0),
(38, 14),
(38, 0),
(39, 14),
(39, 0),
(39, 1),
(40, 10),
(40, 6),
(41, 0),
(41, 1),
(41, 3),
(41, 8),
(41, 14),
(42, 6),
(42, 9),
(43, 0),
(43, 1),
(43, 14),
(44, 0),
(44, 1),
(44, 8),
(44, 14),
(45, 0),
(46, 0),
(46, 1),
(46, 8),
(47, 6),
(48, 13),
(48, 6),
(49, 0),
(49, 16),
(49, 4),
(49, 1),
(50, 3),
(50, 6),
(51, 6),
(52, 0),
(52, 14),
(52, 16),
(52, 10),
(53, 0),
(54, 1),
(54, 6),
(54, 14),
(55, 0),
(55, 6),
(55, 16),
(56, 2),
(56, 7),
(56, 3),
(56, 1),
(57, 0),
(57, 1),
(57, 2),
(57, 3),
(57, 7),
(57, 14),
(57, 8),
(58, 1),
(58, 8),
(58, 0),
(59, 10),
(59, 12),
(59, 16),
(59, 14),
(59, 3),
(60, 1),
(60, 8),
(60, 7),
(61, 3),
(61, 2),
(61, 1),
(61, 7),
(61, 8),
(62, 16),
(62, 0),
(62, 4),
(63, 0),
(63, 1),
(63, 2),
(63, 7),
(64, 14),
(64, 0),
(64, 1),
(65, 0),
(65, 3),
(65, 1),
(66, 0),
(66, 3),
(66, 6),
(67, 0),
(67, 4),
(67, 6),
(68, 16),
(68, 12),
(68, 10),
(68, 8),
(69, 1),
(69, 0),
(69, 16),
(70, 1),
(70, 0),
(70, 14),
(71, 1),
(71, 8),
(71, 7),
(72, 6),
(72, 7),
(72, 1),
(73, 13),
(73, 3),
(74, 6),
(74, 13),
(75, 0),
(75, 1),
(75, 14),
(76, 16),
(76, 12),
(76, 10),
(77, 16),
(77, 6),
(78, 0),
(78, 16),
(79, 1),
(79, 8),
(79, 0),
(80, 3),
(80, 6),
(81, 8),
(81, 6),
(81, 13),
(82, 6),
(82, 3),
(82, 11),
(83, 10),
(83, 16),
(84, 0),
(84, 16),
(85, 0),
(85, 1),
(85, 8),
(86, 0),
(86, 4),
(86, 6),
(86, 16),
(87, 16),
(87, 0),
(88, 0),
(88, 1),
(88, 3),
(89, 1),
(89, 0),
(89, 14),
(90, 13),
(90, 6),
(91, 13),
(92, 0),
(92, 16),
(93, 0),
(93, 14),
(93, 1),
(94, 4),
(94, 12),
(94, 16),
(95, 14),
(96, 14),
(96, 1),
(96, 16),
(97, 6),
(97, 11),
(97, 3),
(98, 2),
(98, 0),
(98, 14),
(99, 3),
(99, 4),
